Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Суфле абрикосовое без сахара,64.1 кКал,6.7 г,1 г,6.7 г,"Творог влажный обезжиренный: 480 г, Молоко 3,2% жирности, пастеризованное: 250 г, Желатин, сухой порошок, неподслащенный: 10 г, Абрикосы: 270 г"
Окрошка  с чёрной редькой на кефире,47.9 кКал,3.4 г,1.9 г,3.8 г,"Морковь варёная: 40 г, Редька черная: 75 г, Яйцо перепелиное (Варка): 75 г, Руккола: 18 г, Соль поваренная пищевая: 3 г, Пекинская капуста: 100 г, Паприка, перец сладкий молотый: 0.5 г, Перец черный,  молотый или горошек: 0.2 г, Заменитель сахара  Стевия №1: 0.7 г, Кефир 1% жирности: 500 г"
Капуста отварная с маслом и яйцом,104.2 кКал,4.2 г,8.7 г,2.3 г,"Капуста отварная: 400 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 40 г, Яйцо куриное вареное вкрутую: 160 г"
"Кекс Морковный (без сахара, глютена)",183 кКал,6.6 г,7.3 г,22.4 г,"Морковь: 250 г, Грецкий орех: 35 г, Семена тыквы очищенные: 10 г, Банан: 100 г, Изюм, золотистый, без косточек: 30 г, Корица, молотая: 1 г, Яйцо куриное: 3 Штука, Мак, семена: 10 г, Рисовая мука, белая: 60 г, Гречневая мука: 60 г, Масло сливочное топленое, 99% жирности: 2 г, Соль поваренная пищевая: 1 г"
Куриное филе с цукини,98.4 кКал,17.5 г,2.4 г,1.6 г,"Куриная грудка (филе) (Тушение): 608 г, Цукини с кожурой: 260 г, Чеснок (Тушение): 10 г, Соевый соус, с пониженным содержанием нартия: 20 г, Соль поваренная пищевая: 5 г, Сметана 15% жирности (Запекание): 20 г, Петрушка свежая (Тушение): 5 г, Вода: 150 г, Подсолнечное масло: 5 г"
Шакшука с индюшиным фаршем и щавелем,102.2 кКал,9.8 г,6 г,2.1 г,"Яйцо куриное: 2 Штука, Перец сладкий красный: 30 г, Помидор (томат), грунтовый: 1 Штука диаметр 5,5 см, Фарш из индейки, приготовленный: 50 г, Щавель: 30 г"
Гуляш с имбирем,149.3 кКал,9.8 г,9.2 г,6.5 г,"Говядина 1 кат.: 630 г, Морковь: 215 г, Лук репчатый: 131 г, Имбиря корень сырой: 100 г, Вода: 800 г, Подсолнечное масло: 18 г, Кетчуп Лечо: 158 г, Соль поваренная пищевая: 5 г, Перец черный,  молотый или горошек: 3 г, Мука Столичная мельница: 25 г"
Суп,31.1 кКал,3 г,0.8 г,3.1 г,"Курица 2 кат. (Варка): 120 г, Картофель (Варка без слива): 130 г, Капуста белокочанная (Варка без слива): 120 г, Морковь (Варка без слива): 50 г, Зелень (укроп,петрушка,лук перо): 20 г, Вода: 1000 г"
Шайбочки капустные,145.7 кКал,7.9 г,9.5 г,7.7 г,"Капуста отварная: 380 г, Яйцо куриное (Запекание): 192 г, Мука с разрыхлителем без глютена: 70 г, Соль поваренная пищевая: 6 г, Оливковое масло: 6 г, Конопля, семя сушеное лущёное: 70 г, Лук репчатый, сушеный (Запекание): 10 г"
Хлеб с морковью,256.7 кКал,18.3 г,3.9 г,28.7 г,"Отруби овсяные: 31 г, Сода пищевая, разрыхлитель для выпечки: 2 г, Соль поваренная пищевая: 1 г, Яичный белок куриный (Запекание): 31 г, Йогурт греческий TEOS 2%: 31 г, Заменитель сахара  Стевия №1: 1 г, Морковь варёная: 31 г"
Желе с манго,53.7 кКал,5.7 г,0.6 г,6.6 г,"Желатин пищевой: 20 г, Манго: 295 г, Вода: 200 г, Творог обезжиренный: 100 г, Молоко 2,5% жирности, пастеризованное: 100 г, Заменитель сахара  Стевия №1: 7 г"
Творожные Рафаэлло,295.6 кКал,13.1 г,13.6 г,28.3 г,"Творог обезжиренный, 0,6% жирности: 200 г, Кокосовая стружка, подслащенная: 100 г, Миндаль: 12 г, Шоколад белый: 60 г, Сахар песок: 1 Столовая ложка (&quo..."
Конверты из лаваша с сыром `кутабы`,280 кКал,10.9 г,7.8 г,40.6 г,"Лаваш армянский тонкий (пшеничная мука 1 сорта): 130 г, Сыр голландский, брусковый, м.д.ж. 45% в сух. в-ве: 30 г, Укроп: 20 г, Подсолнечное масло: 5 г"
"Омлет с индейкой,помидорами и сыром",125.9 кКал,13.6 г,6.7 г,2.6 г,"Яйцо куриное (Запекание): 101 г, Соль поваренная пищевая: 1 г, Помидор (томат), парниковый (Жарка): 82 г, Укроп (Мытьё, нарезка): 6 г, Индейка, грудка, только мясо, запечённая: 70 г, Молоко 3,5% жирности, стерилизованное (Запекание): 105 г, Сыр сусанинский, м.д.ж. 46% в сух. в-ве: 20 г"
Помидоры фаршированные тунцом,61 кКал,6.8 г,0.4 г,8.2 г,"Помидор (томат), парниковый (Запекание): 500 г, Тунец натуральный. Консервы: 120 г, Хлеб, французский или венский (на закваске): 50 г, Петрушка свежая (Запекание): 5 г, Чеснок (Запекание): 5 г"
